,ID,User Name,Text,Star
101,119557,Md Samir,Apps,1
102,125698,Arun Verma,Good,1
103,125722,Tushar Panchal,Good App,1
104,125723,Etta Hubbard,Cookies Cookies,1
105,125765,Ganga Meena,Good,1
106,128221,Terry Dwater,Its not leting me update,1
107,128250,Ryan Laurio,Bobo nyo,1
108,139124,kanzariya chiragbhai,C.k,1
109,139163,saif khan,good,1
110,139920,Raj Sijy,Go,1
111,139964,Ali Hadi,not bad,2
112,148176,Helen Wilhovsky,Keeps stopping!!,1
113,148200,MUHAMMAD ALIIF ays,no spam,1
114,156270,Soma Mnj,Plezz support Android 4.4.4,1
115,156272,muhammad Zubair ilahi studio,Fab,2
116,156306,Kamryn Walker,I   me update,1
117,156307,Thembeka Mahlowana,Cool,2
118,156324,PRIME乡SWAPPY __,Cant update,1
119,156349,Sushil Kumar,This have lot of adult content,2
120,156351,Imran Khan,Nyc apps,2
121,158426,Amaingiro Grace,Good,2
122,158465,De Simp,"There's a notification for update but it seems like it won't let me to do that. Whenever i press update, nothing is happened. I don't think it's the problem on my part since i could update all my other apps just fine.",2
123,158477,Trent O'Brien,Ok,2
124,158508,K D,Bekar,1
125,163970,Zizi Roberts,Stop recommending articles from publications I will never read. Thanks.,2
126,163988,Prakash Raj,Thik thak h,1
127,164000,Akshay Rathod,Nice,1
128,164011,Hersh Hossain,"so happy to say im finally getting rid of google chrome. it was difficult for a long time due to a lack of alternatives but the developers made it very easy to uninstall by making the browser more and more garbage and unusable, much appreciated, thank you <3!",1
129,164038,Edith Senyane,Better,1
130,164046,Chillie Leong,"Well, still cant update after closing all browsers so have uninstall but still cant update.",2
131,170292,Dody Mukoko,Cool,1
132,170320,Farin Akhtar,Good,1
133,170327,Kefi Pathan gori,Wonderful,1
134,177104,Kimhamed Hussein,Good,1
135,177109,kiran chalam charla,Super,1
136,177136,Roshni Thankur,Wonderful,1
137,177141,Fox Nara,A pretty good app. Thanks for adding the option to change the theme to dark. I don't love the new tab layout :/,2
138,177165,Mark Anthony,how to make an amazing time in the world to use this one for a f about the same size,2
139,181853,Namuco Dante,Good,1
140,181862,Sneha Dulgach,Nice app i like this app,1
141,193165,varun manchala,Nice,2
142,193171,John Cool,John zakaria,1
143,193217,Kasim Dar,Nic,1
144,193218,Elizabeth Otieno,Not bad,1
145,198405,Anime Freak,Can't update 😕,1
146,198459,Ahmed monowar Fatima,Ok,2
147,198461,Ibrahim Bagwan,Accurate hai,1
148,198469,Nitish Nirala,Nice,1
149,198474,karthi keyan,ok,2
150,210958,Maryam qureshi,Nice app,2
151,210972,brian choge,"nice,",1
152,210980,Tanvir Ahmed Shakil,Good,2
153,229662,Kahless 01,New update forces tab groups. Even after disabling them they turn back on. I'm perfectly capable or making my own damn tab decisions I don't need y'all doing it for me.,1
154,229673,Tambi Maniam,Good,1
155,229710,selvamani shanmugam,Excellent,1
156,229732,Amruta Patil,"hangs too much , will crash often and wont update even if the update is available",2
157,229743,Zuber Malik,Awesome,1
158,236593,Al-jazar Alico,its so fuccing helpful,1
159,236613,Akash pradhanji,Good,1
160,236617,Mohd rafique Sayed,Good luck with,1
161,236621,Asish Debbarma,Ashish dvrma,1
162,236628,Debasish Ghosh,Update,1
163,236643,Zainudin Ali,Cant update!!,1
164,255767,Maria Ramirez,It's good but can't stand that this won't update 😒,2
165,255775,ددد ددذ,!!!,2
166,255792,Chandan Kumar,Good,2
167,269392,Kimberly Hadley,Wont update,1
168,269440,Sharif Sayeed,The App very good,1
169,269464,Rajput 002,Bekar,1
170,278881,Sarwardi hamza,good app,1
171,278883,Sakib Rafi,Valo,1
172,278900,lera mulina,"Hi, I am having a problem with latest update. I can't upload files on my samsung tab s6 lite. Every time I am trying to open a file browser for upload it closes. I tried to do it with opera and Firefox and it works with them perfectly.",1
173,278959,Akash Singh,Rt,1
174,278960,Ajay Pardeshi,Good,2
175,278962,Rj King,Nice app,2
176,303358,Adi Gaming,Nice app,2
177,303386,Sule Booru,I want to opening it,1
178,303388,Manesh Tatkare,Nice,2
179,312901,Sujata Singh,It updates itself continuosly on one click to update it never stops updating .. and on pausing a file from downloading for long i am not able to continue downloading...it stops downloading .,1
180,312906,Esther Joshua,Boring but love it,2
181,312953,Satish Satish. Lone,😁😌 Good Luck To U,1
182,312995,Sanam Pritam,Taking Huge space,1
183,325749,Rahul Singh,Best,1
184,341767,Sandeep K,Nyc,2
185,341816,Bindu Thankam,By,1
186,348940,Neeraj Kumar,Very nice,2
187,348955,md shuvo,Ok,2
188,348976,HDR CREATION,Very good,2
189,348986,Andy Marwanto,Not bad,2
190,349006,BMC Entertainment,Ssr.,1
191,349008,li123 kim,Ok,1
192,349018,Biira Eddy,Ok no problem,2
193,369163,Martin Doswell,Screwed up! It's constantly signing me out. Calling this app  is being generous,1
194,369173,Haziq MI,Update,1
195,369185,Rajesh Das,Good,2
196,390951,Asha Kumari Ashakumari1,Good,1
197,390956,Wendy Musilizo,You tubu,1
198,390957,narayan behera,lkod,1
199,390965,Ch Rawat,Please check the update,1
200,390993,Dilki Hapugolla,Super,1
201,391001,natalie kruger,keeps telling me to update. but iv done it numerous of times and still says update,1
202,391029,Prashant Kohale,Experience is updated so many times,2
203,391032,Jan Nowak,I don't like grouping of cards. I switched it off with the flags but it turns itself on again. Let me decide for myself what I like.,1
204,392734,Ekta Thakur,N .,2
205,392771,chhotu kumar,Reply,1
206,392788,Shakunthala C,Wq you o,1
207,392799,khan anas,Nice,1
208,392824,Maribel Pajan,Me gusta,1
209,429690,James Stewart,Why do I have a option to find black owned businesses but nothing for white owed? Go that route and see how people take it!,1
210,429692,VASANT S.,Ekdam bhangar,1
211,429741,John Songay,Ok,1
212,429748,l MoNsTER l,Thise app good and i love it but i gave 1star because when i download any movie it take many time.,1
213,444274,Pam Lay,Takes 5 ever but it's having help right L S,1
214,444279,Movies Time,Good,2
215,444303,Vishal Rao,Super,1
216,444308,"༺ Sᴋ᭄gaming,",Ok,1
217,444335,Ashish Pawariya,good,1
218,462142,George Ochieng,Nice app for us guys 2,1
219,462170,Akhlaque Shaikh,It's most wonderfull,1
220,462174,Bishal Magar,Iphona,2
221,462192,Vignesh vignesh,Very useful for me keep using guys good app !!!,1
222,476345,Leeann Villafuerte,Better,1
223,476327,Ajay Kumar,It is very nice application the application developer unless you delete them,1
224,476339,Monojit Basumatary,Sassa,1
225,476357,MD RABBANI,"Oh God finally update (android view, Chrome)",2
226,476360,LEGEND ๛ Arshad,Thanks Best Western Union Bank LTD for you and broth and Jell-O salad for lunch tomorrow,1
227,476371,Ankur Official,Good,1
228,476376,Sftian Khrll,Ok,1
229,482334,sohil rangrej,Updated nhi ho rha he,1
230,482364,Naseemah Petersen,Very good,1
231,504391,Mayank Sabharwal,Because of new update,1
232,504415,Sharon Ihotu ochekwu,😙,1
233,504417,Toxickozi,Good,1
234,504445,Aman Rajak,NiCe,2
235,504454,Kaka singh KAKA SINGH,KAKA SINGH. . .,1
236,504472,LogDog,Absolute balls,2
237,510991,Uzair Mobile,Gaffar,2
238,527938,SUMIT VEER,good,1
239,527976,Param Bhatt,Very nice 😊 you have you,1
240,527979,james,Chrome wont allow me to update and keeps freezing,1
241,527992,muhammed shahul,Every time use full,2
242,528009,Vignesh,Google is always safe,1
243,548517,Shubham Gupta,.. .,1
244,548540,carlos lopez,H n,2
245,548544,Carlito Campo,Hot,1
246,548566,drnazir ahmed,Good,2
247,548571,Gerry Gultiano,Gwapa ko,2
248,556593,Dj Sanjay No.1,Faltu,1
249,556606,Mayuri Lakra,Garden,1
250,556637,Murali N,Good,2
251,556679,bachhav samadhan,Good,2
252,569899,Shepherd Mugore,Will,1
253,569915,Abhishek Thakur gaming,Best update,2
254,569916,Surya Hitam,"Get rid of the tabs! Looks like the people at Google who design the GUI for the Chrome browser have never heard the saying, ""If it ain't broke don't fix it."" I was just fine with a list of tabs to flip through like it used to be up till a few days ago. I don't need mini views of each open page to remind me what I've been doing - I'm not an idiot - and I definitely don't need a piece of my screen real estate taken over to show me what tabs belong to the group. This is a ""feature"" no one needs.",1
255,569929,guddappa siddappa,Nice,2
256,569930,Joy Roy,I I,1
257,569935,karan mahor,Nice app,1
258,569951,Md Shodul,Xxxvideo,1
259,569954,RAJESH MAURYA,Nice,2
260,588888,Ramesh Oad,Help,1
261,611799,Ravi Babu,Super app,2
262,611827,Arbab Mangrio,zabardast,2
263,611831,Shawn Jones,S,1
264,611842,Teira Belyea,"The last few days it wont load at all, never had a problem before, its frustrating.",1
265,611857,Caridad Acevedo,To many posted,1
266,611859,Sherif Said,Ok,1
267,611877,mohammad adil shaikh,Awesome,1
268,611882,Sujit Das,Automatically open tab,1
269,620111,Doogie H,Tracks every move you make.,1
270,620123,anil Kumar,Good,2
271,620143,Gugulethu Nkalankala,Good but very slow,2
272,620158,Khalid Hussain,Nice,1
273,642273,naiz khan,Nice,1
274,642275,Thakur Rahul,Rahul Thakur,1
275,642282,Abhimanyu Kumar,Better,2
276,656111,S S,see,1
277,656041,T Thush,for android its chrome,1
278,656065,M.saleem mayo,Heart of 6 mobile,1
279,656071,Amir Hocin,Ooo,1
280,656072,aparajita gupta,Good,2
281,656122,Tristan Speight,Since the new update it wont do ANYTHING. Wont even show the screen.,1
282,659643,Eric Johnston,"Decent browser but sold out to politics. They filter your searches blocking results that are concervative. Aside from being sellouts to political propoganda, not bad",2
283,659655,Seanmichael Cabanilla,Good,1
284,659656,Faith Mulae,Good app,1
285,659661,Holy Purpose,Its good,1
286,659665,Kundoo Zubair,Helpfull,1
287,659690,Sh Wijerathna,Second,2
288,659715,Kajal Sinha,Wirst,1
289,684983,Harry W Kendall,"Chrome is good, I trust this update will make it better.",1
